#{"t_start": 1763848939.568932, "env_id": "None"}
r,l,t
61.300903,500,207.56769
136.01021,500,207.567697
107.74585,500,208.797127
42.59971,500,208.797182
94.45257,500,208.797194
34.20475,500,208.797203
-140.68903,500,208.79721
68.518814,500,208.797217
9.689607,500,210.186854
84.03375,500,210.18691
10.5516615,500,210.186922
-44.80481,500,210.186935
92.11406,500,210.186942
-19.817406,500,210.186949
104.48703,500,211.413577
66.00274,500,211.413629
84.805626,500,211.41364
65.71203,500,211.413647
9.514805,500,211.413654
50.992065,500,211.41366
78.70604,500,212.792923
95.059555,500,212.792975
69.84389,500,212.792989
-29.028093,500,212.792996
71.35702,500,212.793003
32.068905,500,212.793009
39.222435,500,214.017019
53.974094,500,214.017064
110.458534,500,214.017074
40.1215,500,214.017081
0.21740967,500,214.017088
21.131973,500,214.017094
99.906075,500,215.38924
88.88956,500,215.389288
42.178463,500,215.389298
92.449196,500,215.389306
87.86565,500,215.389312
135.11293,500,215.389318
67.25241,500,216.609753
72.13479,500,216.609798
84.898865,500,216.609808
116.96762,500,216.609815
90.96892,500,216.609821
53.760902,500,216.609827
54.424603,500,217.98188
-85.27358,500,217.981929
44.078976,500,217.98194
46.286446,500,217.981948
83.6518,500,217.981955
13.648494,500,217.981961
43.00686,500,219.221538
14.932816,500,219.221585
-55.273594,500,219.221599
96.83269,500,219.221606
66.12517,500,219.221613
70.58343,500,219.221619
106.82997,500,220.60143
79.97387,500,220.601471
119.32521,500,220.601482
57.20186,500,220.601489
75.48104,500,220.601495
139.63725,500,220.601501
-40.79968,500,221.839718
115.38801,500,221.839765
117.21089,500,221.839776
65.4324,500,221.839783
29.177113,500,221.83979
129.18484,500,221.839796
71.510765,500,223.219526
136.25673,500,223.219581
79.28267,500,223.219595
53.91499,500,223.219605
90.35327,500,223.219612
42.182755,500,223.219619
95.214,500,224.448269
95.0647,500,224.448318
23.659477,500,224.44833
114.44222,500,224.448338
107.52457,500,224.448345
99.85974,500,224.448352
44.71697,500,225.856575
122.30356,500,225.856624
82.02946,500,225.856636
25.16484,500,225.856644
128.194,500,225.856651
60.229694,500,225.856658
46.91441,500,227.088188
-28.11585,500,227.088234
84.97388,500,227.088246
99.080086,500,227.088255
102.58428,500,227.088263
140.39252,500,227.08827
70.90033,500,228.323013
34.27896,500,228.323068
71.68783,500,228.32308
43.07955,500,228.323088
9.816189,500,228.323096
119.12626,500,228.323103
130.8677,500,229.710479
72.38286,500,229.710535
-0.42536217,500,229.710547
101.90893,500,229.710555
94.50416,500,229.710563
56.819633,500,229.71057
117.33579,500,230.944505
110.53086,500,230.944556
19.810541,500,230.944568
138.32927,500,230.944576
-5.801524,500,230.944583
23.816475,500,230.94459
68.099205,500,232.328934
97.18251,500,232.328991
37.175167,500,232.329003
37.188396,500,232.329011
137.67232,500,232.329018
59.34311,500,232.329025
54.461754,500,233.5598
109.787575,500,233.559852
75.91058,500,233.559864
0.68526584,500,233.559872
57.99096,500,233.559879
100.784966,500,233.559886
92.342926,500,234.932399
43.720768,500,234.93245
85.15285,500,234.932465
51.844273,500,234.932473
125.513,500,234.93248
72.70731,500,234.932487
81.6524,500,236.172002
75.09041,500,236.172062
106.371124,500,236.172077
67.90675,500,236.172086
86.79807,500,236.172093
73.32981,500,236.1721
126.65718,500,237.54162
102.60577,500,237.541671
142.47574,500,237.541684
85.32294,500,237.541692
83.51125,500,237.5417
99.8404,500,237.541707
141.22885,500,238.774215
122.49341,500,238.774266
76.37241,500,238.774278
28.015327,500,238.774286
19.63198,500,238.774294
124.292534,500,238.774301
52.81402,500,240.146647
118.787674,500,240.146693
53.144787,500,240.146705
125.916885,500,240.146713
27.445438,500,240.146721
113.9038,500,240.146728
138.92201,500,241.373573
